ID,Name,SMILES,Category
072,Hexadecylamine,CCCCCCCCCCCCCCCN,"Long-Chain Amines, Fatty Acids & Thiols"
073,Octadecylamine,CCCCCCCCCCCCCCCCCCN,"Long-Chain Amines, Fatty Acids & Thiols"
074,Dioctylamine,CCCCCCCCNCCCCCCCC,"Long-Chain Amines, Fatty Acids & Thiols"
075,Trioctylamine,CCCCCCCCN(CCCCCCCC)CCCCCCCC,"Long-Chain Amines, Fatty Acids & Thiols"
076,Lauric acid,CCCCCCCCCCCC(=O)O,"Long-Chain Amines, Fatty Acids & Thiols"
077,Myristic acid,CCCCCCCCCCCCCC(=O)O,"Long-Chain Amines, Fatty Acids & Thiols"
078,Palmitic acid,CCCCCCCCCCCCCCCC(=O)O,"Long-Chain Amines, Fatty Acids & Thiols"
079,Stearic acid,CCCCCCCCCCCCCCCCC(=O)O,"Long-Chain Amines, Fatty Acids & Thiols"
080,Oleic acid,CCCCCCC/C=C\CCCCCCCC(=O)O,"Long-Chain Amines, Fatty Acids & Thiols"
081,1-Octanethiol,CCCCCCCCS,"Long-Chain Amines, Fatty Acids & Thiols"
082,1-Dodecanethiol,CCCCCCCCCCCCS,"Long-Chain Amines, Fatty Acids & Thiols"
083,1-Hexadecanethiol,CCCCCCCCCCCCCCCS,"Long-Chain Amines, Fatty Acids & Thiols"
084,Trioctylphosphine oxide (TOPO),CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,"Long-Chain Amines, Fatty Acids & Thiols"
085,Tributyl phosphate (TBP),CCCCOP(=O)(OCCCC)OCCCC,"Long-Chain Amines, Fatty Acids & Thiols"
086,Ethylenediaminetetraacetic acid (EDTA),C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,"Molecular Chelators, Macrocycles & Extraction Agents"
087,Nitrilotriacetic acid (NTA),C(C(=O)O)N(CC(=O)O)CC(=O)O,"Molecular Chelators, Macrocycles & Extraction Agents"
088,Di(2-ethylhexal) phosphoric acid (D2EHPA),CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,"Molecular Chelators, Macrocycles & Extraction Agents"
089,Crown Ether / 18-Crown-6,C1COCCOCCOCCOCCOCCO1,"Molecular Chelators, Macrocycles & Extraction Agents"
090,Crown Ether / 15-Crown-5,C1COCCOCCOCCOCCO1,"Molecular Chelators, Macrocycles & Extraction Agents"
091,Crown Ether / 12-Crown-4,C1COCCOCCOCCO1,"Molecular Chelators, Macrocycles & Extraction Agents"
092,Calixarene,C1=C(C=C2CC3=C(C(=CC=C3)O)CC4=C(C(=CC=C4)O)CC5=C(C(=CC=C5)O)CC2=C1O),"Molecular Chelators, Macrocycles & Extraction Agents"
093,Acetylacetone,CC(=O)CC(=O)C,"Molecular Chelators, Macrocycles & Extraction Agents"
094,8-Hydroxyquinoline,C1=CC2=C(C(=C1)O)N=CC=C2,"Molecular Chelators, Macrocycles & Extraction Agents"
095,Dimethylglyoxime,CC(=NO)C(=NO)C,"Molecular Chelators, Macrocycles & Extraction Agents"
096,Dithizone,C1=CC=C(C=C1)N=NC(=S)NNC2=CC=CC=C2,"Molecular Chelators, Macrocycles & Extraction Agents"
097,Cupferron,C1=CC=C(C=C1)N(N=O)[O-].[NH4+],"Molecular Chelators, Macrocycles & Extraction Agents"
098,Thenoyltrifluoroacetone,C1=CSC(=C1)C(=O)CC(=O)C(F)(F)F,"Molecular Chelators, Macrocycles & Extraction Agents"
099,Diethylenetriaminepentaacetic acid (DTPA),C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,"Molecular Chelators, Macrocycles & Extraction Agents"
100,Di-n-octyl phthalate,CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC,"Molecular Chelators, Macrocycles & Extraction Agents"
